Q35,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q53,Q54,Q55,Q56,Q57,Q59,Q60,Q63,Q64,Q65,Q66,Q69,Q70,Q32,Q33,Q34,Q20,Q21,Q38,Q8,Q13
1,2,3,3,3,1,1,4,4,1,2,4,4,1,4,1,2,59,4,1,2,4,41,1,2,99,5,2,1,1,1,4,4,5,1,2
4,4,3,3,4,4,3,3,4,3,4,4,4,4,4,1,2,61,5,1,1,1,24,2,2,2,5,2,3,3,4,4,3,5,3,4
1,2,1,2,2,1,1,2,4,1,4,1,3,4,4,1,2,66,4,1,2,2,54,2,1,1,5,2,2,1,2,2,2,5,3,2
1,3,3,2,1,3,3,4,4,2,4,3,3,4,2,1,1,27,4,1,1,3,22,2,2,2,5,2,5,5,3,3,2,4,3,3
2,4,3,1,3,2,2,4,4,3,3,3,4,4,1,1,3,68,4,1,3,1,66,2,1,2,5,2,5,1,3,3,4,5,3,4
1,1,3,1,2,3,3,2,4,1,1,1,1,4,4,1,1,31,3,1,1,3,41,2,2,2,5,2,5,1,2,1,3,1,3,1
2,4,4,4,3,2,1,2,4,1,4,2,4,4,3,1,2,43,6,1,2,3,41,1,1,2,5,2,2,5,2,3,3,5,2,4
2,2,2,3,2,2,2,1,4,3,3,4,4,4,2,1,2,82,5,1,1,3,65,2,1,1,5,2,5,1,2,3,2,5,3,1
1,2,1,1,3,1,2,4,4,2,4,1,4,3,3,1,3,62,6,1,2,2,41,2,1,1,5,2,2,5,2,1,4,5,1,2
2,2,2,2,2,2,2,4,4,2,4,2,4,4,2,1,2,60,5,1,2,2,54,2,2,1,5,2,4,3,4,4,4,4,3,2
2,3,4,1,3,3,2,4,4,2,4,1,4,4,2,1,2,56,7,1,1,3,25,2,2,2,5,2,2,3,4,2,3,4,3,4
1,2,3,3,1,1,1,1,4,1,4,1,4,4,3,1,2,65,6,1,1,4,41,2,1,1,5,2,2,1,1,3,4,2,2,4
1,2,3,2,1,1,2,3,4,1,4,1,4,4,4,1,3,51,6,1,2,2,41,1,2,1,5,2,3,1,1,3,4,5,2,3
2,2,1,2,2,1,3,3,4,1,4,1,3,3,2,1,2,58,4,1,1,5,41,2,2,1,5,2,3,5,2,1,4,1,2,1
1,3,4,3,3,3,4,4,4,2,4,1,4,4,4,1,2,48,7,1,1,5,41,2,2,1,5,2,1,5,3,4,4,5,2,3
5,3,3,1,3,3,4,4,4,1,4,1,4,1,1,1,2,61,5,1,3,1,53,1,2,1,5,2,5,1,5,1,4,5,3,1
